OPERACIÓN MÉCANICA,TOP BOY,AGILITY,AGILITY RS,AGILITY CITY 150,BET & WIN,ACTIV,"SPIKE
",AGILITY RS  NAKED  ,SUPER 8,GACELA,CRUCERO             x-town 300,ROCKET,FLY 125,TWIST,JETIX,UNI-K 110,TRACK,PULSAR 135,Perseo,PULSAR,PULSAR 180 UG,PULSAR 150  ,THOR 160,PULSAR 200  ,PULSAR 150 NS ,PULSAR 150 AS,PULSAR 200 AS ,PULSAR 200 NS ,TITAN,PULSAR  RS 200,PULSAR 220,AVENGER 220,XCD ,DISCOVER 100,DISCOVER 135,"
BOXER",LEXUS,DISCOVER 100 5S,DISCOVER 150,CHAMPION,DISCOVER 125 ST,"
BOXER BM 100",BOXER BM 150,BOXER BM 100 ES ,PLATINO 125,PLATINO 125 - 5S,"
 PLATINO 100",PLATINO 110,FAMILLY,"MOTOCARRO
4T",TORITO,"MOTOCARRO
DIESEL"," KAZE
MAX II",ZX 130- MAGIC II,KMX,KLX 150,KLX150  L,KLX 250,NINJA 250,NINJA 250 FI,Z250,Z250 SL,ER-6n,TRANS-SPORT,MRX 150,FURAX,BOMBER 125,BOMBER 250,COMBAT 125,ZS,LIFE,HUNTER,BLACK,VENOM 400,VENOM 250,ONE,FLOW,ADVANCE II LF,ZONTES 155,ZONTES 310M,SHOCK,TNT150i,180S,TNT25N,LEONCINO 500,LEONCINO 250,TRK 500X,TRK 251,302 S
CAMBIO RETENEDOR EJE TRANSMISION INTERNO,2,2,2,2,2.5,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,2,,,,,,,,,
CAMBIO PIÑONES SATELITALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE CRUCETAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIOS DE PIÑONES DE REVERSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE ACOPLES CARDAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE CARDANES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EMPAQUE DE TRANSMISION,1.5,1.5,1.5,1.5,2.0,,,1.5,1.5,1.5,2.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,1.5,1.5,2,2,,,,,,,2,,,,,,,,,
CAMBIO EMPAQUE REVERSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EMPAQUE SATELITES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE CAMBIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EJE DE CAMBIOS Y RESORTES,,,,,,2.5,2.5,,,,,,,,2.5,2.5,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2.5,2.5,2,2,2.2,2.5,2.5,2.2,2.2,2.5,2,2,2,2,1.5,2,,,,,1.5,2.5,2.5,2.5,2.5,2.2,,2.5,2.2,2.2,2.5,2.5,2.5,2.5,2.5,2.5
CAMBIO PEDAL DE CAMBIOS,,,,,,0.2,0.2,,,,,,,,0.2,0.2,0.2,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.4,0.2,,,,,0.5,0.4,0.2,0.2,0.2,0.3,,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3
CAMBIO RETEN EJE CAMBIOS EXTERNO,,,,,,0.4,0.4,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,1,0.4,0.4,0.4,0.4,0.4,0.4,,,,,0.4,0.4,0.4,0.4,0.4,0.5,,0.4,0.5,0.5,0.5,1,0.5,1,0.5,0.5
CAMBIO LEVA SELECTOR DE CAMBIOS (ESTRELLA),,,,,,2.5,2.5,,,,,,,,2.5,2.5,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2.5,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2,1.5,2,,,,,1.5,2.5,2.5,2.5,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
CAMBIO PLATINA SELECTOR,,,,,,2.5,2.5,,,,,,,,2.5,2.5,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.5,2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,2,2.5,2.5,2,2,2,,,,,,2,2,2,2,1.5,2,,,,,,2.5,2.5,2.5,2.5,2.5,,2.5,,,,,,,,
CAMBIO SENSOR DE CAMBIOS Y/O NEUTRA,,,,,,0.5,0.5,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.3,,0.5,1,0.5,0.3,0.3,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.3,0.5,0.5,0.8,0.5,,,,,1,0.6,0.5,0.5,0.5,0.6,,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.6
CAMBIO RETENENEDOR EJE CAMBIOS INTERNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO SENSOR DE CAMBIOS (PLATINA),,,,,,0.5,0.5,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.6,,,,,,,,,,,,0.5,0.5,0.5,,,0.5,,,,,,,,
CAMBIO ESTRELLA DE CAMBIOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,1.5,,,2.5,2.5,2,,2.5,,,,,,,,
SISTEMA DE LUBRICACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO Y/O REPARACIÓN BOMBA ACEITE 4T,,2.5,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.5,2.5,,2,2.5,,2,2,2.3,2.5,2.5,2.5,2.5,3,2,1.5,2,1.5,1,1.5,2.5,2.5,3.5,3.5,1.5,1.5,2.5,2.5,2.5,2.5,4.5,2.5,2.5,2.5,2.5,3,2.5,3,2.5,2.5
CAMBIO RECIPIENTE DE ACEITE DE DOS TIEMPOS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO Y/O CALIBRACIÓN BOMBA DE ACEITE DE 2T,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO SENSOR DE ACEITE 2T,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CONDUCTO LUBRICACIÓN 2T Y 4T,0.5,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,0.5,0.5,,,,0.4,,,,,,0.5,,,,,0.5,,,,,,,,0.5,,,,1.0,,,,,,,,0.4,,0.4,,,,,,,,,,,,,,,,,,,,
CAMBIO DE EJE BOMBA DE LUBRICACIÓN,0.8,,,,,2.5,5.5,,,,,,,,2.5,2.5,2.5,1.5,1.5,,,,1.5,1.5,1.5,1.5,1.5,1.5,,1.6,,,,,,,,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,0.8,,,,1.5,1.5,1.5,1.5,3,,,,,1.0,,,,,,1.5,1.5,2.5,2.5,2.5,1.5,,2.5,1.5,1.5,1.5,3,1.5,3,1.5,1.5
CAMBIO DE CADENILLA DE BOMBA DE LUBRICACION 4T,,2.5,2.5,2.5,3.0,,,2.5,2.5,2.5,3.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,2.5,3.5,3.5,,,,,,,3.5,,,,,,,,,
CAMBIO DE CHEQUES DE DESCARGE DE LUBRICACION,,,,,,,,,,,,,,,,,,,,,1,1,1,1.0,1.5,1.5,1.5,1.5,1.6,1.6,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,1.0,,,,,,,1.5,,,,2,,,2,2,2,2,2,2,2,2
CAMBIO DE FILTRO DE RECOLECCION DE BOMBA DE ACEITE 4T,,0.2,0.2,0.2,0.2,1.0,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,1,1.0,1,0.2,0.2,1,1,1,1,,,,,,,,1,1,,,,1.0,1,,,,,1.0,,,,,1.0,,,,,,,1.0,,1,1,1,0.2,0.3,0.3,0.3,1.8,,1,,1.0,,1.0,0.2,0.2,0.2,0.2,,,1,1.0,1.0,0.3,0.2,1.0,0.3,0.3,0.3,1.8,0.3,1.8,0.3,0.3
CAMBIO DE TAPA CARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,0.3,,0.3,,,,,1,,,,,,,,,,,2,,2,,
CAMBIO DE EMPAQUE TAPA CARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,0.3,,0.3,,,,,1,,,,,,,,,,,2,,2,,
CAMBIO DE CONDUCTOS INTERNOS DE ACEITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,,,,,,,,,,,,,,,,2,,,2,2,2,2,2,2,2,2
CAMBIO SENSOR DE PRESION DE ACEITE ,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1.5,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1,1,,0.8,,,,,,,,,,,,1,,,,1,,,1,1,1,0.8,1,0.8,1,1
CAMBIO DEL EJE DEL PIÑON DE LA BOMBA DE LUBRICACION,,,,,,2.5,5.5,,,,,,,,2.5,2.5,2.5,1.5,1.5,,,,1.5,1.5,1.5,1.5,1.5,1.5,,1.6,,,,,,,,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,1.5,2.5,5,,,0.7,1,0.7,,,,,1.5,1.5,2.5,2.5,2.5,1.5,,2.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5
CAMBIO DEL PIÑON ACCIONADOR DE LA BOMBA DE LUBRICACION,,2.5,2.5,2.5,3.0,2.5,5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,2.5,1.5,1.5,,,,1.5,1.5,1.5,1.5,1.5,1.5,,1.6,,,,,1.5,,,1.5,1.5,1.5,1.5,,,,,,,1.5,1.5,,,,,,1.0,,,1,1.5,1.5,1.5,1.5,2.5,5,1,,,,,2.5,2.5,3,3,1.5,1.5,2.5,2.5,2.5,1.5,3,2.5,1.5,1.5,1.5,2.5,1.5,2.5,1.5,1.5
CAMBIO Y/O REPARACION DEL SENSOR DE ACEITE 4T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,,1.2,,,,,,,,,,,,,,,,0.4,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CAMBIO  BOMBA DE SUCCION DE ACEITE DEL CARTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,
SISTEMA DE CARBURACIÓN Ó INYECCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO VÁLVULA Y/O  LENGÜETAS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMPIAR Y REVISAR CARBURADOR,1.5,1.5,1.5,1.5,1.5,1.8,1.8,1.5,1.5,1.5,,1.5,1.5,1.5,1.8,1.8,1.8,1.2,1.2,1.5,1.5,1.5,2,2,2,2.3,2.3,2,,,1.5,1.5,1.8,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,1.8,1.5,1.2,1.5,1.5,1.5,1.5,,1.8,1.8,1.5,1.5,1.5,,3.0,,,,,1.7,1.5,1.8,1.5,,1.5,1.5,1.5,,,,2,1.8,1.8,1.8,,,1.8,,,,,,,,
CAMBIO CONDUCTO CARBURADOR CILINDRO,0.8,0.8,0.8,0.8,0.8,1,1,0.8,0.8,0.8,,0.8,0.8,0.8,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,1,1,,1,1,0.8,0.5,0.5,1,2,,,,,1,0.5,0.8,,,,0.8,0.8,,,,,1,1,1,,,1,,,,,,,,
CAMBIO DE PARTES INTERNAS DEL CARBURADOR,1.3,1.5,1.5,1.5,1.5,1.8,1.8,1.5,1.5,1.5,,1.5,1.5,1.5,1.8,1.8,1.8,1.2,1.2,1.5,1.5,1.5,2,2,2,2.3,2.3,2,,,1.5,1.5,1.8,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,1.8,1.5,1.2,1.5,1.5,1.3,1.3,,1.8,1.8,1.5,1.5,1.5,,3.0,,,,,1.7,1.5,1.8,1.5,,1.5,1.5,1.5,,,,2,1.8,1.8,1.8,,,1.8,,,,,,,,
CAMBIO DE CARBURADOR,1,0.8,0.8,0.8,0.8,1.0,1.0,0.8,0.8,0.8,,0.8,0.8,0.8,1,1.0,1,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.8,1.8,1.5,,,0.5,0.5,0.8,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.8,0.5,0.4,0.5,0.5,0.8,0.8,,0.8,1.0,0.8,1.2,1.2,,2,,,,,0.8,1.2,0.8,0.5,,0.5,0.8,0.8,,,,1.5,1,1.0,1.0,,,1.0,,,,,,,,
CAMBIO AISLANTE TERMICO CONDUCTO CARBURADOR,,0.8,0.8,,,,,0.8,0.8,0.8,,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,,0.4,,0.4,0.4,,,,,0.4,0.4,0.4,,,0.4,,,0.4,,,,,,,,,,,,,,,0.4,,0.3,,0.3,0.8,0.8,,,,,,,,,,,,,,,,,,
CAMBIO O´RING Y/O EMPAQUE CONDUCTO CARBURADOR,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,,0.8,0.8,0.8,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.3,0.3,,0.7,1,0.7,0.5,0.5,,2,,,,,0.7,,0.7,0.3,,0.3,0.8,0.8,0.5,0.5,,,0.7,0.7,0.7,,,0.7,,,,,,,,
CAMBIO DE CUERPO DE INYECTORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2.5,2.5,2.5,2.5,,,,,0.8,,,,1,1,2,,,,,2.5,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
CAMBIO DE BOQUERELES ,1.5,1.3,1.3,1.3,1.3,1.6,1.6,1.3,1.3,1.3,,1.3,1.3,1.3,1.6,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1.3,1.3,,,,,1.6,1.6,1.6,,,1.6,,,,,,,,
CAMBIO DE DIAFRAGMA O CORTINA,,0.7,0.7,0.7,0.7,1.0,1.0,0.7,0.7,0.7,,0.7,0.7,0.7,1,1.0,1,0.7,0.7,0.7,0.7,0.7,1.5,1.5,1.5,1.8,1.8,1.5,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,,1.0,0.7,0.7,0.7,,2,,,,,,0.7,,0.6,,0.6,0.7,0.7,,,,1.5,1,1.0,1.0,,,1.0,,,,,,,,
REVISION Y/O CAMBIO DEL SERVO MOTOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,2,,,,,,,,,,,,,,,,1,,,1,1,1,2,1,2,1,1
REVISION Y/O CAMBIO DEL EL T.P.S DE ACELERACION,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.7,2,2,1.7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,1.5,1.5,2,,,,,0.6,,,,0.5,0.5,0.5,1.7,,,,1.5,2,,1.5,1.5,1.5,2,1.5,2,1.5,1.5
REVISION Y/O CAMBIO DEL T.P.S DE SUBACELREACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,2,,,,,,,,,,,,,,,,,,,1.5,1.5,1.5,2,1.5,2,1.5,1.5
LIMPIEZA CARBURADOR ENGOMADO,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,1.2,1.2,2,2,2,2.3,2.3,2,,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,,,,,,,,1.2,,1.5,,1.5,2,2,,,,2,,,,,,,,,,,,,,
CAMBIO CHOKE,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.3,0.3,0.3,1.5,1.5,1.5,1.8,1.8,1.5,,,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,,0.5,,,,0.3,0.5,0.5,,,,,,,,0.5,,0.5,,0.5,1.5,1.5,,,,1.5,1.5,1.5,1.5,,,1.5,,,,,,,,
AJUSTE REGLAJE DEL CARBURADOR (sin desmontar el carburador),,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.5,,0.5,,,,,,0.5,,0.5,,0.5,0.6,0.6,,,,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,
CONJUNTO DE ARRANQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EJE DE CRANK ,0.6,0.8,0.8,0.8,,5.5,5.5,0.8,0.8,0.8,,0.8,0.8,1,5.5,5.5,5.5,2.0,2.0,2.5,,2.5,2.5,,2.5,2.5,,,,,,,2.5,2.5,2.5,2.0,2,2,2,2,2,2.0,2.5,2.5,2.5,2.5,2.0,2.5,,3,3,,2.5,5.5,1.5,1,1,,,,,,,5.5,1,7.5,2.5,,2.5,1.2,1.2,0.8,0.8,,,5.5,5.5,5.5,,,5.5,,,,,,,,
CAMBIO PIÑÓN DE CRANK,0.6,0.6,0.6,0.6,,5.5,5.5,0.6,0.6,0.6,,0.6,0.6,0.8,5.5,5.5,5.5,2.0,2.0,2.5,,2.5,2.5,,2.5,2.5,,,,,,,2.5,2.5,2.5,2.0,2,2,2,2,2,2.0,2.5,2.5,2.5,2.5,2.0,2.5,,9,9,,2.5,5.5,1.5,1,1,,,,,,,5.5,1,7.5,2.0,,2.0,0.8,0.8,0.6,0.6,,,5.5,5.5,5.5,,,5.5,,,,,,,,
CAMBIO PEDAL DE CRANK ,0.15,0.20,0.20,0.20,,0.20,0.20,0.2,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0.20,0.2,0.20,,0.2,0.2,,0.2,0.2,,,,,,,0.20,0.2,0.20,0.20,0.2,0.2,0.2,0.2,0.2,0.20,0.2,0.2,0.20,0.20,0.20,0.2,0.2,0.15,0.2,,0.15,0.20,0.20,0.20,0.20,,,,,,,0.20,0.2,0.20,0.2,,0.2,0.2,0.2,0.2,0.2,,,0.2,0.2,0.2,,,0.2,,,,,,,,
CAMBIO RETEN EJE CRANK,,,,,,0.4,0.4,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,,0.4,0.4,,0.4,0.4,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,,0.4,0.4,0.4,0.4,0.4,,,,,,,0.4,0.4,0.4,0.5,,0.5,,,,,,,0.4,0.4,0.4,,,0.4,,,,,,,,
CAMBIO DE RESORTE DE CRANK,0.5,0.8,0.8,0.8,,1.5,1.5,0.8,0.8,0.8,,0.8,0.8,1,1.5,1.5,1.5,6,6,7.5,,2.5,2.5,,2.5,2.5,,,,,,,6,6,2,1.8,1.8,6,6,1.8,6,1.8,6,6,6,6,1.8,2.5,,8.5,8.5,,1.8,1.5,1.5,1,1,,,,,,,1.8,1,1.5,1.5,,1.5,1,1,0.8,0.8,,,1.5,1.5,1.5,,,1.5,,,,,,,,
CAMBIO DE  MOTOR DE ARRANQUE,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1,1,1.5,1.5,1.5,1.3,1.3,1.3,1.3,1.3,1,1,1,1,1,1,1,1,1.3,1.3,1,1,1.3,,,1.3,1.3,1.3,1.3,,1,1,1,1,,1,1,2,2,,1,1,,1.2,1.2,1.4,1.5,1.5,1.5,1.5,1.3,1,1,1,1,0.3,1,1,1,0.9,1,0.5,1,1.5,1.5,1.5,0.6,1,1.5,0.6,0.6,0.5,1.3,0.5,1.3,0.5,0.6
LIMPIEZA Y LUBRICACION MOTOR DE ARRANQUE (INTERNA),1,1.5,1.5,1.5,1.5,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2.0,2.0,1.8,1.8,1.8,1.8,1.8,1.5,1.8,1.5,1.5,1.5,1.5,1.5,1.5,1.8,1.8,1.5,1.5,1.8,,,1.8,1.8,1.8,1.8,,1.5,1.5,1.5,1.5,,1.5,1.5,,,,1.5,1.5,,1.6,1.6,1.7,2.0,2,2,2,1.8,,1.6,,1,1,1,1.5,1.5,1.5,1.5,1,1.5,2.0,2.0,2.0,1.5,1.5,2.0,1.5,1.5,1.5,1.8,1.5,1.8,1.5,1.5
CAMBIO DE PIÑONES DEL MOTOR DE ARRANQUE LADO VOLANTE,1.3,2.5,2.5,2.5,2.8,1,1,2.5,2.5,2.5,3,2.5,2.5,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1.1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,,1,1,,,,1.5,1.3,,1,1,1,1.8,1.8,1.5,1.5,1.5,,1,1.5,1.5,0.6,1.5,2.5,2.5,2.5,2.5,1,1,1,1,1,1,2.5,1,1,1,1,1.5,1,1.5,1,1
CAMBIO ROLLERS PIÑÓN ARRANQUE DE LA VOLANTE,,2.5,2.5,2.5,2.8,1.2,1.2,2.5,2.5,2.5,3,2.5,2.5,2.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,,,1.2,1.2,1.2,1.2,,1.2,1.2,1.2,1.2,,1.2,1.2,,,,,1.5,,1.2,1.2,1.5,1.8,1.8,1.5,1.5,1.5,1.2,1.2,1.2,,1,,2.5,2.5,2.5,2.5,1,1.2,1.2,1.2,1.2,1.5,3,1.2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO DE CADENILLA DE ARRANQUE,,,,,,1.2,1.2,,,,,,,,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,1.2,1.2,1.2,,,1.2,,,,,,,,
CAMBIO DESLIZADORES CADENILLA DE ARRANQUE,,,,,,0.5,0.5,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,1.0,1.0,,,1.0,,,,,,,,
